job_id,job_title,company,location,source,employment_type,role_group,salary,description,requirements,skills_text,posted_date,url
JD001,Data Analyst Intern,CELLPHONES,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,3 - 4 triệu,"Tiếp nhận và xử lý yêu cầu báo cáo Power BI; theo dõi báo cáo phụ trách; đảm bảo số liệu và báo cáo hoạt động tốt.","Sinh viên năm cuối hoặc mới tốt nghiệp ngành Khoa học dữ liệu, Quản trị kinh doanh, Tài chính hoặc liên quan.","Power BI; report; data; dashboard; business reporting",,https://www.topcv.vn/viec-lam/data-analyst-intern/1158269.html
JD002,Data Analyst - Consumer Insights - Quantitative Research Intern,Công ty TNHH Nielsen Vietnam,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Thoả thuận,"Học kỹ năng phân tích, thuyết trình và làm việc nhóm trong môi trường nghiên cứu thị trường.","Phù hợp ứng viên quan tâm consumer insights, quantitative research, analytical work.","quantitative research; data analysis; presentation; consumer insights",,https://www.topcv.vn/viec-lam/data-analyst-consumer-insights-quantitative-research-intern/30576.html
JD003,Data Analyst Intern,Công ty YouNet,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Từ 2 triệu,"Đọc và phân loại bài viết, thảo luận mạng xã hội; đánh giá cảm xúc người dùng; cập nhật thông tin thương hiệu/sản phẩm.","Không yêu cầu kinh nghiệm; hỗ trợ team R&D.","social listening; data labeling; sentiment; classification; brand data",,https://www.topcv.vn/viec-lam/data-analyst-intern/169018.html
JD004,Data Analyst Intern,Công ty TNHH NHM Việt Nam,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Thu thập yêu cầu nghiệp vụ; phân tích quy trình; làm việc với product team, technical team và back office.","Dưới 1 năm kinh nghiệm; có khả năng phân tích dữ liệu và quy trình.","requirements gathering; process analysis; data analysis; product team",,https://www.topcv.vn/viec-lam/data-analyst-intern/1101575.html
JD005,Data Analyst Intern,Simple Group,Hồ Chí Minh - Quận 4,TopCV,Full-time Internship,Data Analyst / BI,Thoả thuận,"Tham gia hoạt động phân tích dữ liệu trong môi trường growth/marketing; hỗ trợ báo cáo và phân tích kinh doanh.","Dưới 1 năm kinh nghiệm; có kỹ năng Python và SQL là lợi thế.","Python; SQL; data analysis; marketing analytics",,https://www.topcv.vn/viec-lam/data-analyst-intern/828939.html
JD006,Data Analyst Intern,Công ty Cổ Phần Tư Vấn Đầu Tư Giải Trí VI,Hồ Chí Minh,TopCV,Full-time Internship,Data Analyst / BI,3.9 - 4 triệu,"Chuẩn bị monthly reports; kiểm tra chi phí kho vận; phân tích game data, layout và revenue để đề xuất điều chỉnh.","Không yêu cầu kinh nghiệm; đại học trở lên.","monthly report; revenue analysis; game data; cost checking",,https://www.topcv.vn/viec-lam/data-analyst-intern/2071005.html
JD007,Data Analyst Intern,CÔNG TY TNHH FINAN,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,2 - 3 triệu,"Làm sạch dữ liệu lỗi; dùng công cụ thống kê để phân tích pattern/trend; dùng visualization tools đáp ứng business request.","Dưới 1 năm kinh nghiệm.","data cleaning; statistics; visualization; Superset; DataStudio",,https://www.topcv.vn/viec-lam/data-analyst-intern/813350.html
JD008,Data Analyst Intern,Công ty TNHH Dịch vụ Thương mại Yes4All,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Tới 5 triệu,"Xây dựng và duy trì dashboard tự động; phân tích dữ liệu phức tạp; đưa ra actionable recommendations cho stakeholder.","Bachelor degree hoặc đang học liên quan; phối hợp team để hiểu business needs.","dashboard; automation; analytics; stakeholder; business recommendation",,https://www.topcv.vn/viec-lam/data-analyst-intern/670620.html
JD009,Data Analyst Intern,CÔNG TY TNHH BUYMED,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Tới 3 triệu,"Diễn giải dữ liệu; phân tích kết quả bằng kỹ thuật thống kê; xây dựng database và data collection systems.","Không yêu cầu kinh nghiệm.","statistics; database; data collection; data analytics; trend analysis",,https://www.topcv.vn/viec-lam/data-analyst-intern/475514.html
JD010,Data Analyst Intern,Công ty YouNet,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Từ 3 triệu,"Phân loại bài viết, thảo luận, bình luận mạng xã hội; gán nhãn dữ liệu; verify influencer/KOL.","Sinh viên năm 3 hoặc năm 4; có laptop; full-time 3 tháng.","data labeling; social media; classification; KOL; annotation",,https://www.topcv.vn/viec-lam/data-analyst-intern/834148.html
JD011,Data Analyst Intern,Công ty YouNet,Hồ Chí Minh,TopCV,Internship,Data Analyst / BI,Từ 3 triệu,"Đọc, phân loại thảo luận mạng xã hội; thu thập dữ liệu công khai trên mạng xã hội về hệ thống.","Không yêu cầu kinh nghiệm.","social data; public data collection; classification; sentiment",,https://www.topcv.vn/viec-lam/data-analyst-intern/912147.html
JD012,Data Analyst Intern,CÔNG TY TNHH BUYMED,Hồ Chí Minh - Quận 1,TopCV,Full-time,Data Analyst / BI,Thoả thuận,"Làm việc với business users để xác định BI needs như demand planning, inventory management, pricing.","Yêu cầu kinh nghiệm cao hơn intern thông thường; phù hợp tham khảo skill thị trường.","BI; demand planning; inventory; pricing; business users",,https://www.topcv.vn/viec-lam/data-analyst-intern/1112662.html
